Unnamed: 0,DataSet,Subject,Condition,TrialNum,Inducer,Concurrent,Comparison,ResponseSimulated
9377,Simulated,Amp-Size-Speed-1,Amp Size Speed,1,Affect EB,Amp,Affect EB-Amp,1
9378,Simulated,Amp-Size-Speed-1,Amp Size Speed,2,Size,Pitch,Pitch-Size,1
9379,Simulated,Amp-Size-Speed-1,Amp Size Speed,3,Affect EB,Amp,Affect EB-Amp,1
9380,Simulated,Amp-Size-Speed-1,Amp Size Speed,4,Brightness,Speed,Brightness-Speed,1
9381,Simulated,Amp-Size-Speed-1,Amp Size Speed,5,Color RY,Size,Color RY-Size,1
9382,Simulated,Amp-Size-Speed-1,Amp Size Speed,6,Noise,Speed,Noise-Speed,0
9383,Simulated,Amp-Size-Speed-1,Amp Size Speed,7,Shape,Amp,Amp-Shape,1
9384,Simulated,Amp-Size-Speed-1,Amp Size Speed,8,Pitch,Amp,Amp-Pitch,0
9385,Simulated,Amp-Size-Speed-1,Amp Size Speed,9,Size,Shape,Shape-Size,1
9386,Simulated,Amp-Size-Speed-1,Amp Size Speed,10,Speed,Size,Size-Speed,0
9387,Simulated,Amp-Size-Speed-1,Amp Size Speed,11,Speed,Brightness,Brightness-Speed,1
9388,Simulated,Amp-Size-Speed-1,Amp Size Speed,12,Affect EB,Speed,Affect EB-Speed,0
9389,Simulated,Amp-Size-Speed-1,Amp Size Speed,13,Size,Shape,Shape-Size,0
9390,Simulated,Amp-Size-Speed-1,Amp Size Speed,14,Size,Amp,Amp-Size,0
9391,Simulated,Amp-Size-Speed-1,Amp Size Speed,15,Size,Color RY,Color RY-Size,0
9392,Simulated,Amp-Size-Speed-1,Amp Size Speed,16,Amp,Pitch,Amp-Pitch,0
9393,Simulated,Amp-Size-Speed-1,Amp Size Speed,17,Size,Amp,Amp-Size,0
9394,Simulated,Amp-Size-Speed-1,Amp Size Speed,18,Noise,Size,Noise-Size,0
9395,Simulated,Amp-Size-Speed-1,Amp Size Speed,19,Noise,Amp,Amp-Noise,1
9396,Simulated,Amp-Size-Speed-1,Amp Size Speed,20,Amp,Affect EB,Affect EB-Amp,1
9397,Simulated,Amp-Size-Speed-1,Amp Size Speed,21,Amp,Affect EB,Affect EB-Amp,1
9398,Simulated,Amp-Size-Speed-1,Amp Size Speed,22,Amp,Size,Amp-Size,0
9399,Simulated,Amp-Size-Speed-1,Amp Size Speed,23,Size,Speed,Size-Speed,0
9400,Simulated,Amp-Size-Speed-1,Amp Size Speed,24,Pitch,Amp,Amp-Pitch,1
9401,Simulated,Amp-Size-Speed-1,Amp Size Speed,25,Noise,Size,Noise-Size,0
9402,Simulated,Amp-Size-Speed-1,Amp Size Speed,26,Speed,Amp,Amp-Speed,1
9403,Simulated,Amp-Size-Speed-1,Amp Size Speed,27,Size,Pitch,Pitch-Size,1
9404,Simulated,Amp-Size-Speed-1,Amp Size Speed,28,Speed,Color RY,Color RY-Speed,0
9405,Simulated,Amp-Size-Speed-1,Amp Size Speed,29,Color RY,Size,Color RY-Size,1
9406,Simulated,Amp-Size-Speed-1,Amp Size Speed,30,Amp,Speed,Amp-Speed,1
9407,Simulated,Amp-Size-Speed-1,Amp Size Speed,31,Speed,Pitch,Pitch-Speed,1
9408,Simulated,Amp-Size-Speed-1,Amp Size Speed,32,Size,Speed,Size-Speed,0
9409,Simulated,Amp-Size-Speed-1,Amp Size Speed,33,Pitch,Speed,Pitch-Speed,1
9410,Simulated,Amp-Size-Speed-1,Amp Size Speed,34,Size,Amp,Amp-Size,0
9411,Simulated,Amp-Size-Speed-1,Amp Size Speed,35,Size,Color RY,Color RY-Size,1
9412,Simulated,Amp-Size-Speed-1,Amp Size Speed,36,Shape,Size,Shape-Size,1
9413,Simulated,Amp-Size-Speed-1,Amp Size Speed,37,Pitch,Speed,Pitch-Speed,1
9414,Simulated,Amp-Size-Speed-1,Amp Size Speed,38,Brightness,Speed,Brightness-Speed,1
9415,Simulated,Amp-Size-Speed-1,Amp Size Speed,39,Size,Noise,Noise-Size,1
9416,Simulated,Amp-Size-Speed-1,Amp Size Speed,40,Size,Brightness,Brightness-Size,0
9417,Simulated,Amp-Size-Speed-1,Amp Size Speed,41,Color RY,Speed,Color RY-Speed,0
9418,Simulated,Amp-Size-Speed-1,Amp Size Speed,42,Affect EB,Size,Affect EB-Size,1
9419,Simulated,Amp-Size-Speed-1,Amp Size Speed,43,Speed,Noise,Noise-Speed,0
9420,Simulated,Amp-Size-Speed-1,Amp Size Speed,44,Speed,Noise,Noise-Speed,0
9421,Simulated,Amp-Size-Speed-1,Amp Size Speed,45,Amp,Speed,Amp-Speed,1
9422,Simulated,Amp-Size-Speed-1,Amp Size Speed,46,Size,Brightness,Brightness-Size,1
9423,Simulated,Amp-Size-Speed-1,Amp Size Speed,47,Amp,Speed,Amp-Speed,1
9424,Simulated,Amp-Size-Speed-1,Amp Size Speed,48,Affect EB,Size,Affect EB-Size,1
9425,Simulated,Amp-Size-Speed-1,Amp Size Speed,49,Speed,Amp,Amp-Speed,1
9426,Simulated,Amp-Size-Speed-1,Amp Size Speed,50,Amp,Color RY,Amp-Color RY,1
9427,Simulated,Amp-Size-Speed-1,Amp Size Speed,51,Size,Affect EB,Affect EB-Size,1
9428,Simulated,Amp-Size-Speed-1,Amp Size Speed,52,Pitch,Size,Pitch-Size,1
9429,Simulated,Amp-Size-Speed-1,Amp Size Speed,53,Speed,Affect EB,Affect EB-Speed,0
9430,Simulated,Amp-Size-Speed-1,Amp Size Speed,54,Amp,Noise,Amp-Noise,1
9431,Simulated,Amp-Size-Speed-1,Amp Size Speed,55,Size,Noise,Noise-Size,1
9432,Simulated,Amp-Size-Speed-1,Amp Size Speed,56,Amp,Brightness,Amp-Brightness,0
9433,Simulated,Amp-Size-Speed-1,Amp Size Speed,57,Speed,Affect EB,Affect EB-Speed,1
9434,Simulated,Amp-Size-Speed-1,Amp Size Speed,58,Affect EB,Speed,Affect EB-Speed,0
9435,Simulated,Amp-Size-Speed-1,Amp Size Speed,59,Shape,Speed,Shape-Speed,1
9436,Simulated,Amp-Size-Speed-1,Amp Size Speed,60,Amp,Shape,Amp-Shape,0
9437,Simulated,Amp-Size-Speed-1,Amp Size Speed,61,Size,Affect EB,Affect EB-Size,0
9438,Simulated,Amp-Size-Speed-1,Amp Size Speed,62,Brightness,Size,Brightness-Size,1
9439,Simulated,Amp-Size-Speed-1,Amp Size Speed,63,Color RY,Amp,Amp-Color RY,1
9440,Simulated,Amp-Size-Speed-1,Amp Size Speed,64,Speed,Size,Size-Speed,0
9441,Simulated,Amp-Size-Speed-1,Amp Size Speed,65,Speed,Pitch,Pitch-Speed,1
9442,Simulated,Amp-Size-Speed-1,Amp Size Speed,66,Speed,Size,Size-Speed,0
9443,Simulated,Amp-Size-Speed-1,Amp Size Speed,67,Speed,Shape,Shape-Speed,0
9444,Simulated,Amp-Size-Speed-1,Amp Size Speed,68,Amp,Speed,Amp-Speed,1
9445,Simulated,Amp-Size-Speed-1,Amp Size Speed,69,Shape,Speed,Shape-Speed,1
9446,Simulated,Amp-Size-Speed-1,Amp Size Speed,70,Size,Amp,Amp-Size,1
9447,Simulated,Amp-Size-Speed-1,Amp Size Speed,71,Shape,Amp,Amp-Shape,1
9448,Simulated,Amp-Size-Speed-1,Amp Size Speed,72,Amp,Size,Amp-Size,1
9449,Simulated,Amp-Size-Speed-1,Amp Size Speed,73,Speed,Size,Size-Speed,0
9450,Simulated,Amp-Size-Speed-1,Amp Size Speed,74,Color RY,Speed,Color RY-Speed,0
9451,Simulated,Amp-Size-Speed-1,Amp Size Speed,75,Amp,Color RY,Amp-Color RY,1
9452,Simulated,Amp-Size-Speed-1,Amp Size Speed,76,Speed,Color RY,Color RY-Speed,0
9453,Simulated,Amp-Size-Speed-1,Amp Size Speed,77,Size,Speed,Size-Speed,0
9454,Simulated,Amp-Size-Speed-1,Amp Size Speed,78,Color RY,Amp,Amp-Color RY,1
9455,Simulated,Amp-Size-Speed-1,Amp Size Speed,79,Speed,Amp,Amp-Speed,1
9456,Simulated,Amp-Size-Speed-1,Amp Size Speed,80,Amp,Brightness,Amp-Brightness,0
9457,Simulated,Amp-Size-Speed-1,Amp Size Speed,81,Amp,Noise,Amp-Noise,1
9458,Simulated,Amp-Size-Speed-1,Amp Size Speed,82,Brightness,Amp,Amp-Brightness,0
9459,Simulated,Amp-Size-Speed-1,Amp Size Speed,83,Amp,Size,Amp-Size,0
9460,Simulated,Amp-Size-Speed-1,Amp Size Speed,84,Shape,Size,Shape-Size,0
9461,Simulated,Amp-Size-Speed-1,Amp Size Speed,85,Amp,Pitch,Amp-Pitch,1
9462,Simulated,Amp-Size-Speed-1,Amp Size Speed,86,Speed,Brightness,Brightness-Speed,1
9463,Simulated,Amp-Size-Speed-1,Amp Size Speed,87,Amp,Shape,Amp-Shape,0
9464,Simulated,Amp-Size-Speed-1,Amp Size Speed,88,Size,Speed,Size-Speed,0
9465,Simulated,Amp-Size-Speed-1,Amp Size Speed,89,Noise,Speed,Noise-Speed,0
9466,Simulated,Amp-Size-Speed-1,Amp Size Speed,90,Brightness,Amp,Amp-Brightness,1
9467,Simulated,Amp-Size-Speed-1,Amp Size Speed,91,Speed,Amp,Amp-Speed,1
9468,Simulated,Amp-Size-Speed-1,Amp Size Speed,92,Brightness,Size,Brightness-Size,1
9469,Simulated,Amp-Size-Speed-1,Amp Size Speed,93,Amp,Size,Amp-Size,0
9470,Simulated,Amp-Size-Speed-1,Amp Size Speed,94,Noise,Amp,Amp-Noise,1
9471,Simulated,Amp-Size-Speed-1,Amp Size Speed,95,Speed,Shape,Shape-Speed,0
9472,Simulated,Amp-Size-Speed-1,Amp Size Speed,96,Pitch,Size,Pitch-Size,1
9473,Simulated,Amp-Size-Speed-10,Amp Size Speed,1,Speed,Amp,Amp-Speed,1
9474,Simulated,Amp-Size-Speed-10,Amp Size Speed,2,Amp,Color RY,Amp-Color RY,0
9475,Simulated,Amp-Size-Speed-10,Amp Size Speed,3,Size,Amp,Amp-Size,0
9476,Simulated,Amp-Size-Speed-10,Amp Size Speed,4,Shape,Speed,Shape-Speed,1
9477,Simulated,Amp-Size-Speed-10,Amp Size Speed,5,Size,Pitch,Pitch-Size,1
9478,Simulated,Amp-Size-Speed-10,Amp Size Speed,6,Affect HS,Size,Affect HS-Size,0
9479,Simulated,Amp-Size-Speed-10,Amp Size Speed,7,Color RY,Amp,Amp-Color RY,0
9480,Simulated,Amp-Size-Speed-10,Amp Size Speed,8,Brightness,Size,Brightness-Size,0
9481,Simulated,Amp-Size-Speed-10,Amp Size Speed,9,Amp,Speed,Amp-Speed,1
9482,Simulated,Amp-Size-Speed-10,Amp Size Speed,10,Amp,Speed,Amp-Speed,1
9483,Simulated,Amp-Size-Speed-10,Amp Size Speed,11,Color RY,Amp,Amp-Color RY,1
9484,Simulated,Amp-Size-Speed-10,Amp Size Speed,12,Shape,Size,Shape-Size,1
9485,Simulated,Amp-Size-Speed-10,Amp Size Speed,13,Size,Affect HS,Affect HS-Size,1
9486,Simulated,Amp-Size-Speed-10,Amp Size Speed,14,Amp,Affect HS,Affect HS-Amp,0
9487,Simulated,Amp-Size-Speed-10,Amp Size Speed,15,Amp,Pitch,Amp-Pitch,0
9488,Simulated,Amp-Size-Speed-10,Amp Size Speed,16,Amp,Size,Amp-Size,1
9489,Simulated,Amp-Size-Speed-10,Amp Size Speed,17,Pitch,Speed,Pitch-Speed,1
9490,Simulated,Amp-Size-Speed-10,Amp Size Speed,18,Pitch,Amp,Amp-Pitch,0
9491,Simulated,Amp-Size-Speed-10,Amp Size Speed,19,Speed,Affect HS,Affect HS-Speed,1
9492,Simulated,Amp-Size-Speed-10,Amp Size Speed,20,Pitch,Amp,Amp-Pitch,1
9493,Simulated,Amp-Size-Speed-10,Amp Size Speed,21,Size,Noise,Noise-Size,1
9494,Simulated,Amp-Size-Speed-10,Amp Size Speed,22,Affect HS,Amp,Affect HS-Amp,1
9495,Simulated,Amp-Size-Speed-10,Amp Size Speed,23,Size,Brightness,Brightness-Size,1
9496,Simulated,Amp-Size-Speed-10,Amp Size Speed,24,Amp,Brightness,Amp-Brightness,0
9497,Simulated,Amp-Size-Speed-10,Amp Size Speed,25,Brightness,Size,Brightness-Size,1
9498,Simulated,Amp-Size-Speed-10,Amp Size Speed,26,Speed,Affect HS,Affect HS-Speed,1
9499,Simulated,Amp-Size-Speed-10,Amp Size Speed,27,Size,Speed,Size-Speed,0
9500,Simulated,Amp-Size-Speed-10,Amp Size Speed,28,Size,Speed,Size-Speed,1
9501,Simulated,Amp-Size-Speed-10,Amp Size Speed,29,Pitch,Speed,Pitch-Speed,1
9502,Simulated,Amp-Size-Speed-10,Amp Size Speed,30,Size,Amp,Amp-Size,0
9503,Simulated,Amp-Size-Speed-10,Amp Size Speed,31,Speed,Amp,Amp-Speed,1
9504,Simulated,Amp-Size-Speed-10,Amp Size Speed,32,Speed,Pitch,Pitch-Speed,1
9505,Simulated,Amp-Size-Speed-10,Amp Size Speed,33,Speed,Shape,Shape-Speed,1
9506,Simulated,Amp-Size-Speed-10,Amp Size Speed,34,Amp,Noise,Amp-Noise,0
9507,Simulated,Amp-Size-Speed-10,Amp Size Speed,35,Speed,Pitch,Pitch-Speed,1
9508,Simulated,Amp-Size-Speed-10,Amp Size Speed,36,Amp,Speed,Amp-Speed,1
9509,Simulated,Amp-Size-Speed-10,Amp Size Speed,37,Speed,Shape,Shape-Speed,1
9510,Simulated,Amp-Size-Speed-10,Amp Size Speed,38,Size,Shape,Shape-Size,0
9511,Simulated,Amp-Size-Speed-10,Amp Size Speed,39,Speed,Brightness,Brightness-Speed,1
9512,Simulated,Amp-Size-Speed-10,Amp Size Speed,40,Noise,Speed,Noise-Speed,0
9513,Simulated,Amp-Size-Speed-10,Amp Size Speed,41,Size,Color RY,Color RY-Size,1
9514,Simulated,Amp-Size-Speed-10,Amp Size Speed,42,Size,Amp,Amp-Size,0
9515,Simulated,Amp-Size-Speed-10,Amp Size Speed,43,Brightness,Speed,Brightness-Speed,1
9516,Simulated,Amp-Size-Speed-10,Amp Size Speed,44,Color RY,Speed,Color RY-Speed,1
9517,Simulated,Amp-Size-Speed-10,Amp Size Speed,45,Size,Speed,Size-Speed,1
9518,Simulated,Amp-Size-Speed-10,Amp Size Speed,46,Speed,Noise,Noise-Speed,0
9519,Simulated,Amp-Size-Speed-10,Amp Size Speed,47,Noise,Size,Noise-Size,1
9520,Simulated,Amp-Size-Speed-10,Amp Size Speed,48,Color RY,Speed,Color RY-Speed,0
9521,Simulated,Amp-Size-Speed-10,Amp Size Speed,49,Shape,Speed,Shape-Speed,1
9522,Simulated,Amp-Size-Speed-10,Amp Size Speed,50,Amp,Speed,Amp-Speed,1
9523,Simulated,Amp-Size-Speed-10,Amp Size Speed,51,Affect HS,Speed,Affect HS-Speed,1
9524,Simulated,Amp-Size-Speed-10,Amp Size Speed,52,Size,Speed,Size-Speed,0
9525,Simulated,Amp-Size-Speed-10,Amp Size Speed,53,Size,Brightness,Brightness-Size,1
9526,Simulated,Amp-Size-Speed-10,Amp Size Speed,54,Speed,Color RY,Color RY-Speed,1
9527,Simulated,Amp-Size-Speed-10,Amp Size Speed,55,Size,Affect HS,Affect HS-Size,1
9528,Simulated,Amp-Size-Speed-10,Amp Size Speed,56,Speed,Brightness,Brightness-Speed,1
9529,Simulated,Amp-Size-Speed-10,Amp Size Speed,57,Size,Noise,Noise-Size,0
9530,Simulated,Amp-Size-Speed-10,Amp Size Speed,58,Noise,Speed,Noise-Speed,0
9531,Simulated,Amp-Size-Speed-10,Amp Size Speed,59,Size,Amp,Amp-Size,1
9532,Simulated,Amp-Size-Speed-10,Amp Size Speed,60,Amp,Shape,Amp-Shape,0
9533,Simulated,Amp-Size-Speed-10,Amp Size Speed,61,Pitch,Size,Pitch-Size,0
9534,Simulated,Amp-Size-Speed-10,Amp Size Speed,62,Size,Pitch,Pitch-Size,1
9535,Simulated,Amp-Size-Speed-10,Amp Size Speed,63,Speed,Noise,Noise-Speed,0
